# Total Phase Data Center(tm) v6.61
# (c) 2005-2013 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,Record,Data
0,0,0:00.000.000,,,,Capture started,[03/17/25 16:45:48]
1,2,0:00.000.020,335.523.840 ms,0 B,TM,   MOSI,
1,5,0:24.597.072,98.420 us,128 B,,   MOSI,08 00 00 00 62 5F 00 49 10 00 02 00 00 00 00 54 04 01 06 09 08 00 00 00 00 00 00 00 00 0E 66 08 B7 00 00 00 00 00 00 00 00 27 28 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,8,0:24.615.915,98.420 us,128 B,,   MOSI,08 00 10 00 86 8C 00 49 10 00 02 00 00 00 00 54 04 01 06 09 08 00 00 00 00 00 00 00 00 0E 66 08 B7 08 00 02 00 C2 40 00 00 27 28 05 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,11,0:24.620.564,98.420 us,128 B,,   MOSI,08 00 20 00 EA C3 00 49 10 00 02 00 00 00 00 54 04 01 06 09 08 00 00 00 00 00 00 00 00 0E 66 08 B7 08 00 02 00 C2 40 00 00 27 28 05 00 00 00 00 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,14,0:24.626.060,98.420 us,128 B,,   MOSI,08 00 30 00 1E BA 00 49 10 00 02 00 00 00 00 54 04 01 06 09 08 00 00 00 00 00 00 00 00 0E 66 08 B7 08 00 02 00 C2 40 00 00 27 28 05 00 00 00 00 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,17,0:28.763.507,98.400 us,128 B,,   MOSI,08 00 40 00 70 38 00 49 10 00 02 00 00 00 00 54 04 01 06 09 08 00 00 00 00 00 00 00 00 0E 66 08 B7 08 00 02 00 C2 40 00 00 2A 2B 05 00 00 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,20,0:29.474.613,262.440 us,128 B,,   MOSI,08 00 50 00 76 B4 00 75 41 00 16 92 00 00 00 00 00 00 00 00 00 F9 01 00 00 00 00 00 00 00 00 00 00 2A 00 2B 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2E A0 00 00 01 06 16 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D8 A8 8D DF 00 00 00
1,23,0:29.528.624,262.440 us,128 B,,   MOSI,08 00 60 00 90 7E 00 75 41 00 16 92 00 00 00 00 00 00 00 00 00 2D 02 00 00 00 00 00 00 00 00 00 00 2A 00 2B 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2E A0 00 00 01 06 16 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7B 6E CB D4 00 00 00
1,26,0:29.558.655,262.440 us,128 B,,   MOSI,09 01 00 00 9E A0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
